poi_id,name,type,city,source_image_url
1,桐花铁板烧(王府井金宝汇店),美食,北京,http://p0.meituan.net/biztone/780867067_1676346825299.jpeg%40300w_1e_1l%7Cwatermark%3D0
2,九园重庆小面·米饭·小吃(荷华明城大厦店),美食,北京,http://p1.meituan.net/poipicadd/a7c9e0950625442fb1d28729839e9689588193.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
3,见味花甲,美食,北京,http://p0.meituan.net/merchant/1439e86bd717f871d8dc5796e3c5e5fc307723.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
4,东四Vibes,美食,北京,http://p0.meituan.net/biztone/671037594_1675308340998.jpeg%40750w_1e_1l%7Cwatermark%3D0
5,三根米线(王府井大V小巷美食街店),美食,北京,http://p1.meituan.net/bbia/dc084d0efa9911eed1130a02229a6752808524.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
6,壹同·湖南菜·BISTRO·禄米仓,美食,北京,http://p0.meituan.net/biztone/1839107908_1681829268340.jpeg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
7,凉皮遇到粉·肉夹馍·酸辣粉·米线(盒马崇文门店),美食,北京,http://p0.meituan.net/merchant/0c2238b7ca27dd57908a71d8f5cfae94198839.jpg%40750w_1e_1l%7Cwatermark%3D0
8,食鼎轩 茶餐厅(五四大街店),美食,北京,http://p1.meituan.net/searchscenerec/268fcf0cf9da6ee9de81082cd414d859167595.png%40750w_1e_1l%7Cwatermark%3D0
9,天池餐厅,美食,北京,http://p0.meituan.net/merchant/b3519407a1f779f2141fd3cbef90957e50821.jpg%40750w_1e_1l%7Cwatermark%3D0
10,奶酷酪坊,美食,北京,https://qcloud.dpfile.com/pc/ir2jq_EWUmLyNzXEF22h6P8ncO4qJhn8lz6FwmBbekqMJZYrLhxg9hJCgiMMDCU0d5VyLhA3eh9bnfuMRhvrVlEuLYk00OmSS1IdNpm8K8sG4JN9RIm2mTKcbLtc2o2vfCF2ubeXzk49OsGrXt_KYDCngOyCwZK-s3fqawWswzk.jpg
11,老北京?糖葫芦,美食,北京,https://p0.meituan.net/biztone/294ddc284c25224edb5df8134f7644f0676760.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0
12,丑仔包子(安德路店),美食,北京,http://p0.meituan.net/poipicadd/866358c31b2dfa1910adec5016e193e3654025.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
13,仙豆菓夫(鼓楼店),美食,北京,http://p0.meituan.net/merchant/eebff425042f6b3ba9e6f1c5cb6e322f508591.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
14,林子肉饼,美食,北京,http://p1.meituan.net/biztone/521143587_1689908751937.jpeg%40340w_255h_1e_1c_1l%7Cwatermark%3D0
15,小闫煎饼(东四北大街店),美食,北京,http://p1.meituan.net/wmproduct/f7d2c599ea9ec81daf27716f149d4a1280483.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
16,北平印象·烤鸭(鼓楼后海店),美食,北京,https://img.meituan.net/msmerchant/46e8b4378852bc1b58292c06b0ba3d301221655.jpg%40750w_1e_1l%7Cwatermark%3D0
17,新疆楼兰食府(广外店),美食,北京,http://p0.meituan.net/merchant/7ca3a5d9c44dc5bd7c65f7b59f6f889e61618.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
18,经易家肴(西单店),美食,北京,http://p0.meituan.net/biztone/dce9635ac93fa7cd492749c4d3916ce6783730.jpg%40750w_1e_1l%7Cwatermark%3D0
19,小炉将·现烤牛肉干(西单店),美食,北京,http://qcloud.dpfile.com/pc/BB60D7PRd0tJksTarQUZ68GvwE6h3paaf28ZjSiDaWIVb72OXBC5EjFONo3NEg-e.jpg
20,手工饺子坊现制饺子(第三区商业街店),美食,北京,http://p0.meituan.net/merchant/565d6f93c3113de603c21f4868ebf69c29442.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
21,京晟·铜锅涮肉(珠市口店),美食,北京,https://img.meituan.net/content/9d2421309c76379bc3286c3230634b503268701.png%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
22,天福号酱肉铺(辟才胡同店),美食,北京,https://p0.meituan.net/poiugc/65bd2feadccd329b1e38538ac8099f281174679.png%40750w_1e_1l%7Cwatermark%3D0
23,四季水果店(裕民中路店),美食,北京,http://p1.meituan.net/wmproduct/f4f49f53ed0c329dcd898aa414cd707e159216.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
24,崎本的店·专业酵种吐司(更新场店),美食,北京,https://img.meituan.net/content/2d2ce57748d45b391a88726d09525d2f2774994.png%40300w_1e_1l%7Cwatermark%3D0
25,成都小吃(右安门店),美食,北京,http://p1.meituan.net/xianfu/f1669a11cdd3fbea37eac2106207cec065025.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
26,宫廷香酥牛肉饼,美食,北京,http://p1.meituan.net/poipicadd/5c40e7c2b839b473b6a36d78c54cefa254189.jpg%40750w_1e_1l%7Cwatermark%3D0
27,蟹庄缘阳澄湖大闸蟹(槐柏树店),美食,北京,http://p1.meituan.net/merchant/12f9f7ba26360cd7b51121924217c2ba311074.jpg%40750w_1e_1l%7Cwatermark%3D0
28,吉野家(动物园店),美食,北京,https://img.meituan.net/content/c4907e3664d418f0acf186fa1ac24155966281.png%40300w_1e_1l%7Cwatermark%3D0
29,念母恩饺子家常菜,美食,北京,https://img.meituan.net/content/2f45da7f4ce74c4b21c80fe3930fb0cc70128.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
30,罗二火锅(北京首店),美食,北京,http://p0.meituan.net/biztone/926600924_1710991639808.jpeg%40300w_1e_1l%7Cwatermark%3D0
31,星巴克(北京王府井店),美食,北京,http://p0.meituan.net/biztone/812559789_1711706147132.jpeg%40300w_1e_1l%7Cwatermark%3D0
