poi_id,name,tpye,city,source_image_url
1,阿彬烧烤(珠光路店),美食,深圳,https://qcloud.dpfile.com/pc/wBv3DKAKSKlv9Jkgw8wlmsqYaYUIlV5VW0vbvrBBGoxFTj1zLblk4OmXGeqiqp1nd5VyLhA3eh9bnfuMRhvrVlEuLYk00OmSS1IdNpm8K8sG4JN9RIm2mTKcbLtc2o2vfCF2ubeXzk49OsGrXt_KYDCngOyCwZK-s3fqawWswzk.jpg
2,爽爽甜品·糖水(湾厦店),美食,深圳,http://p0.meituan.net/xianfu/00fe8d076d290a9931426f0798ad4bc6323172.jpg%40300w_1e_1l%7Cwatermark%3D0
3,津味源美食城(TCL科学园国际E城西区店),美食,深圳,http://p1.meituan.net/deal/a497368c790cd7ac9033c0566f47a0c662366.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
4,窑鸡王(桃源店),美食,深圳,https://img.meituan.net/content/735c5b3c8c1a53b42f2a24cf389a83af749755.png%40300w_1e_1l%7Cwatermark%3D0
5,东北大馅饺子(南油分店),美食,深圳,http://p1.meituan.net/xianfu/a1e9e4e92491485a4660ee37b7b0ffe2266053.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
6,新胜九屯·小小铁锅炖(南山西丽店),美食,深圳,https://img.meituan.net/content/3d0b5bf88b4f99062758decb44c405632361875.png%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
7,派派东北饭包,美食,深圳,https://qcloud.dpfile.com/pc/7c1_eXKpJqTvKg9EtPf4vWmSDHsoN88P5qqSW7--2qsbYuOq7icNkajXTu5yOh9cd5VyLhA3eh9bnfuMRhvrVlEuLYk00OmSS1IdNpm8K8sG4JN9RIm2mTKcbLtc2o2vfCF2ubeXzk49OsGrXt_KYDCngOyCwZK-s3fqawWswzk.jpg
8,韩国炸酱面·友利家超市,美食,深圳,https://qcloud.dpfile.com/pc/CKjSdPG31TOa__XHc_kuaeVL6MQQ51xAupGRwzEz0mbb7ejKKUJ5jqBlyPGMUFvEd5VyLhA3eh9bnfuMRhvrVlEuLYk00OmSS1IdNpm8K8sG4JN9RIm2mTKcbLtc2o2vfCF2ubeXzk49OsGrXt_KYDCngOyCwZK-s3fqawWswzk.jpg
9,蒙自源米线大王(塘朗店),美食,深圳,https://img.meituan.net/content/ba869be2f7094dbb6836e6d2ae95488f996637.png%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
10,羊师傅(南山大勘店),美食,深圳,http://p1.meituan.net/xianfu/e3ec3d1584f38a5200a6d7e24e4c4d6c317475.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
11,湛江烧腊(大新店),美食,深圳,http://p1.meituan.net/xianfu/f0ad87c0805f0c53b6fd106abe52f284429427.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
12,呷不停台湾炸货店(南头古城店),美食,深圳,http://p1.meituan.net/merchant/c049c1ed925b90305eff2e7725cd9ffa212939.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
13,驴肉火烧(蛇口店),美食,深圳,https://qcloud.dpfile.com/pc/Kg2sLm-gh9ixxoaznTH6acPy37A5wro0urUk-6dAaOSozkitQKqHlrJgLKwbanFcd5VyLhA3eh9bnfuMRhvrVlEuLYk00OmSS1IdNpm8K8sG4JN9RIm2mTKcbLtc2o2vfCF2ubeXzk49OsGrXt_KYDCngOyCwZK-s3fqawWswzk.jpg
14,喜家德虾仁水饺(西丽宝能环球汇店),美食,深圳,http://p0.meituan.net/poipicadd/be5a5e2e3931ac10b871526edce6479b526596.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
15,牛肉拉面(大勘店),美食,深圳,http://p0.meituan.net/deal/a6c1239435fa4d517dcdd399e9f2b74c34816.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
16,来来东北特色烧烤(西丽店),美食,深圳,http://p0.meituan.net/merchant/0df352b9d7ed0441eca700ba1d952c27255574.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
17,Sushi Hanzo半藏(万象天地店),美食,深圳,http://p1.meituan.net/biztone/675443659_1663585472953.jpeg%40300w_1e_1l%7Cwatermark%3D0
18,全家福东北水饺(嘉兴苑店),美食,深圳,http://p1.meituan.net/poipicadd/1e35e69115fb035094b1a8b5632653b8178350.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
19,龙发鸡煲(前海卓悦INTOWN店),美食,深圳,https://img.meituan.net/content/69917663d8fd1f6fec35e88fcf518964547791.png%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
20,星奖鸡煲·石橄榄汤煲·沙姜干煲(蛇口店),美食,深圳,http://p0.meituan.net/merchant/cf267c164f8a8e1b0fd89fce11f0fc9f721523.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
21,顺德佬(南海店),美食,深圳,http://p0.meituan.net/biztone/b7668202572c3a534dc6fec472ebbef9969782.png%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
22,百分百(登良路店),美食,深圳,http://p1.meituan.net/mogu/2b99370d0fb90f5da9d2af5163f4dfba319697.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
23,上沅阁·精致湘菜棋牌,美食,深圳,http://p0.meituan.net/biztone/931765572_1695278899271.jpeg%40300w_1e_1l%7Cwatermark%3D0
24,桃喜小馆·18道拿手菜(南头古城店),美食,深圳,http://p1.meituan.net/poipicadd/42933c96127b17ddaf7cfaffc741f2cd652578.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0
25,化州橘红(南水步行街店),美食,深圳,https://qcloud.dpfile.com/pc/2aOuwZaXgNfJuyDWv16VIeTLRBJH0iEjSKTRx3n0MzuplPiGuh1Tl_cOX_Sd3M8ed5VyLhA3eh9bnfuMRhvrVlEuLYk00OmSS1IdNpm8K8sG4JN9RIm2mTKcbLtc2o2vfCF2ubeXzk49OsGrXt_KYDCngOyCwZK-s3fqawWswzk.jpg
26,白沙肴·长沙米粉·小炒湘菜(前海世茂店),美食,深圳,http://p0.meituan.net/merchant/d58a1d4397559390d2df3e7e0f9ef2a435855.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
27,庙东排骨(大新店),美食,深圳,https://img.meituan.net/content/d5ff22a4b9abd829867d8f0f3db3acbb1368844.png%40300w_1e_1l%7Cwatermark%3D0
28,两三事小郡肝串串香火锅(桂庙店),美食,深圳,http://p0.meituan.net/merchant/3a3d0cada3381ae34b67efd25b592c7975210.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
29,凝香肥肠煲(龙海家园中区店),美食,深圳,http://p1.meituan.net/merchant/d73071c527b7148b1e41adefdd3a238c462826.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
30,Pizza Cave 披萨窝(蛇口店),美食,深圳,http://p1.meituan.net/merchant/f120d6c227a70d7ff618c5f9d06e0c8f85633.jpg%40300w_1e_1l%7Cwatermark%3D0
31,茶之有理(恩平街店),美食,深圳,https://p0.meituan.net/biztone/6168117784f3124215af2093c011c1b2115405.jpg%40300w_1e_1l%7Cwatermark%3D0
32,冰雪茶人,美食,深圳,http://p1.meituan.net/xianfu/4c9452d8778c0507f079d8c157c1a6fd287346.jpg%40300w_1e_1l%7Cwatermark%3D0
33,茶救星球·蔬果茶(粤海TCL店),美食,深圳,https://img.meituan.net/content/b288a33b22b448dd64373cb0ac36edf02604059.png%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
34,奈雪的茶(深圳科技生态园PRO店),美食,深圳,https://img.meituan.net/content/2fad0b890f019be38e68f74960c91f30547725.png%40300w_1e_1l%7Cwatermark%3D0
35,一号咖啡(怡苑阁店),美食,深圳,https://qcloud.dpfile.com/pc/otC53JK6n2z6nS4zhKYMS5jI6xEWywdeJb-wJzsDWsAWZs4liQl-t2_Mz8AcMe9pd5VyLhA3eh9bnfuMRhvrVlEuLYk00OmSS1IdNpm8K8sG4JN9RIm2mTKcbLtc2o2vfCF2ubeXzk49OsGrXt_KYDCngOyCwZK-s3fqawWswzk.jpg
36,gogotail外带鸡尾酒(万象天地店),美食,深圳,http://p0.meituan.net/merchant/30e46ecccf617d82a77fa85ebd42bd2e839479.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
37,花至,美食,深圳,http://p0.meituan.net/merchant/4ccba5a5983896e009dad2b82a1449d3690340.jpg%40300w_1e_1l%7Cwatermark%3D0
38,cocoshine椰子水(南山科技园店),美食,深圳,http://p0.meituan.net/biztone/05ee2fe16e7163d17f57901ef2b96cd998366.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
39,星巴克(深圳湾生态园3店),美食,深圳,https://img.meituan.net/content/38639d159ce10aeed7ed33648d0cb1b2290255.png%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
40,库迪咖啡(深圳科兴科学园店),美食,深圳,https://img.meituan.net/content/488ec4cf290e7254f87a058ac17be24d1916830.png%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
41,壹劑湯方(龙井店),美食,深圳,http://p1.meituan.net/searchscenerec/268fcf0cf9da6ee9de81082cd414d859167595.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0
42,库迪咖啡(西丽地铁站店),美食,深圳,https://img.meituan.net/content/6752b7a004f78ff68b3160e3c41c1e40607522.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0
43,星晴Coffee·三明治·果汁冰沙,美食,深圳,http://p1.meituan.net/merchant/e34e95d989af927d8fa2debfd8f9114072763.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
44,茶百道(南山科技园店),美食,深圳,https://img.meituan.net/content/45e649f7c6e8e9d33b37c862a416511f843828.png%40300w_1e_1l%7Cwatermark%3D0
